Date,Level 1 Commission ($),Level 2 Commission ($),Level 3 Commission ($),Level 4 Commission ($),Total Commission ($)
2025-05-06,0.00,26.25,15.00,113.75,155.00
2025-05-10,0.00,3.75,0.00,0.00,3.75
2025-05-26,0.00,3.75,0.00,0.00,3.75
2025-05-27,0.00,0.00,3.75,0.00,3.75
2025-05-29,0.00,0.00,0.00,8.75,8.75
2025-06-03,0.00,0.00,0.00,8.75,8.75
2025-07-05,0.00,0.00,3.75,0.00,3.75
2025-07-11,0.00,0.00,3.75,0.00,3.75
2025-09-03,0.00,26.25,15.00,113.75,155.00
2025-09-07,0.00,3.75,0.00,0.00,3.75
2025-09-23,0.00,3.75,0.00,0.00,3.75
2025-09-24,0.00,0.00,3.75,0.00,3.75
2025-09-26,0.00,0.00,0.00,8.75,8.75
2025-10-01,0.00,0.00,0.00,8.75,8.75
2026-01-01,70.00,907.50,1627.50,2117.50,4722.50
2026-01-02,0.00,165.00,15.00,35.00,215.00
2026-01-03,0.00,15.00,0.00,0.00,15.00
2026-01-04,0.00,0.00,240.00,0.00,240.00
2026-01-05,0.00,22.50,0.00,35.00,57.50
2026-01-06,0.00,150.00,0.00,350.00,500.00
2026-01-07,0.00,0.00,7.50,0.00,7.50
2026-01-09,0.00,15.00,0.00,0.00,15.00
2026-01-13,0.00,0.00,15.00,0.00,15.00
2026-01-15,0.00,0.00,30.00,35.00,65.00
2026-01-21,0.00,22.50,15.00,0.00,37.50
2026-01-22,0.00,150.00,7.50,0.00,157.50
2026-01-24,0.00,0.00,0.00,17.50,17.50
2026-01-29,0.00,0.00,0.00,52.50,52.50
2026-01-30,0.00,0.00,15.00,0.00,15.00
2026-01-31,35.00,453.75,813.75,1058.75,2361.25
2026-02-01,0.00,82.50,7.50,17.50,107.50
2026-02-02,0.00,7.50,0.00,0.00,7.50
2026-02-03,0.00,0.00,120.00,0.00,120.00
2026-02-04,0.00,11.25,0.00,17.50,28.75
2026-02-05,0.00,75.00,0.00,175.00,250.00
2026-02-06,0.00,0.00,3.75,0.00,3.75
2026-02-08,0.00,7.50,0.00,0.00,7.50
2026-02-12,0.00,0.00,7.50,0.00,7.50
2026-02-14,0.00,0.00,15.00,17.50,32.50
2026-02-20,0.00,11.25,22.50,0.00,33.75
2026-02-21,0.00,75.00,153.75,0.00,228.75
2026-02-23,0.00,0.00,0.00,8.75,8.75
2026-02-28,0.00,0.00,0.00,26.25,26.25
2026-03-01,0.00,0.00,7.50,0.00,7.50
2026-03-02,35.00,453.75,813.75,1058.75,2361.25
2026-03-03,0.00,82.50,7.50,17.50,107.50
2026-03-04,0.00,7.50,0.00,0.00,7.50
2026-03-05,0.00,0.00,120.00,0.00,120.00
2026-03-06,0.00,11.25,0.00,17.50,28.75
2026-03-07,0.00,75.00,0.00,175.00,250.00
2026-03-08,0.00,0.00,3.75,0.00,3.75
2026-03-10,0.00,7.50,0.00,0.00,7.50
2026-03-14,0.00,0.00,7.50,0.00,7.50
2026-03-16,0.00,0.00,15.00,17.50,32.50
2026-03-18,0.00,0.00,150.00,0.00,150.00
2026-03-22,0.00,11.25,15.00,0.00,26.25
2026-03-23,0.00,75.00,78.75,0.00,153.75
2026-03-25,0.00,0.00,0.00,8.75,8.75
2026-03-30,0.00,0.00,0.00,26.25,26.25
2026-03-31,0.00,0.00,7.50,0.00,7.50
2026-04-01,35.00,453.75,813.75,1058.75,2361.25
2026-04-02,0.00,82.50,7.50,17.50,107.50
2026-04-03,0.00,7.50,0.00,0.00,7.50
2026-04-04,0.00,0.00,120.00,0.00,120.00
2026-04-05,0.00,11.25,0.00,17.50,28.75
2026-04-06,0.00,75.00,0.00,175.00,250.00
2026-04-07,0.00,0.00,3.75,0.00,3.75
2026-04-09,0.00,157.50,300.00,350.00,807.50
2026-04-13,0.00,0.00,7.50,0.00,7.50
2026-04-15,0.00,0.00,15.00,17.50,32.50
2026-04-17,0.00,0.00,75.00,0.00,75.00
2026-04-21,0.00,11.25,15.00,0.00,26.25
2026-04-22,0.00,75.00,78.75,0.00,153.75
2026-04-24,0.00,0.00,0.00,8.75,8.75
2026-04-29,0.00,0.00,0.00,26.25,26.25
2026-04-30,0.00,0.00,7.50,0.00,7.50
2026-05-01,35.00,453.75,813.75,1058.75,2361.25
2026-05-02,0.00,82.50,7.50,17.50,107.50
2026-05-03,0.00,7.50,0.00,0.00,7.50
2026-05-04,0.00,0.00,120.00,0.00,120.00
2026-05-05,0.00,11.25,0.00,17.50,28.75
2026-05-06,0.00,75.00,0.00,175.00,250.00
2026-05-07,0.00,0.00,3.75,0.00,3.75
2026-05-09,0.00,82.50,150.00,175.00,407.50
2026-05-13,0.00,0.00,7.50,0.00,7.50
2026-05-15,0.00,0.00,15.00,17.50,32.50
2026-05-17,0.00,0.00,75.00,0.00,75.00
2026-05-21,0.00,11.25,15.00,0.00,26.25
2026-05-22,0.00,75.00,78.75,0.00,153.75
2026-05-24,0.00,0.00,0.00,8.75,8.75
2026-05-29,0.00,0.00,0.00,26.25,26.25
2026-05-30,0.00,0.00,7.50,0.00,7.50
2026-05-31,35.00,453.75,813.75,1058.75,2361.25
2026-06-01,0.00,82.50,7.50,17.50,107.50
2026-06-02,0.00,7.50,0.00,0.00,7.50
2026-06-03,0.00,0.00,120.00,0.00,120.00
2026-06-04,0.00,11.25,0.00,17.50,28.75
2026-06-05,0.00,75.00,0.00,175.00,250.00
2026-06-06,0.00,0.00,3.75,0.00,3.75
2026-06-08,0.00,82.50,150.00,175.00,407.50
2026-06-12,0.00,0.00,7.50,0.00,7.50
2026-06-14,0.00,0.00,15.00,17.50,32.50
2026-06-16,0.00,0.00,75.00,0.00,75.00
2026-06-20,0.00,11.25,15.00,0.00,26.25
2026-06-21,0.00,75.00,78.75,0.00,153.75
2026-06-23,0.00,0.00,0.00,8.75,8.75
2026-06-28,0.00,0.00,0.00,26.25,26.25
2026-06-29,0.00,0.00,7.50,0.00,7.50
2026-06-30,35.00,453.75,813.75,1058.75,2361.25
2026-07-01,0.00,82.50,7.50,17.50,107.50
2026-07-02,0.00,7.50,0.00,0.00,7.50
2026-07-03,0.00,0.00,120.00,0.00,120.00
2026-07-04,0.00,11.25,0.00,17.50,28.75
2026-07-05,0.00,75.00,0.00,175.00,250.00
2026-07-06,0.00,0.00,3.75,0.00,3.75
2026-07-08,0.00,82.50,150.00,175.00,407.50
2026-07-12,0.00,0.00,7.50,0.00,7.50
2026-07-14,0.00,0.00,15.00,17.50,32.50
2026-07-16,0.00,0.00,75.00,0.00,75.00
2026-07-20,0.00,11.25,15.00,0.00,26.25
2026-07-21,0.00,75.00,78.75,0.00,153.75
2026-07-23,0.00,0.00,0.00,8.75,8.75
2026-07-28,0.00,0.00,0.00,26.25,26.25
2026-07-29,0.00,0.00,7.50,0.00,7.50
2026-07-30,35.00,453.75,813.75,1058.75,2361.25
2026-07-31,0.00,82.50,7.50,17.50,107.50
2026-08-01,0.00,7.50,0.00,0.00,7.50
2026-08-02,0.00,0.00,120.00,0.00,120.00
2026-08-03,0.00,11.25,0.00,17.50,28.75
2026-08-04,0.00,75.00,0.00,175.00,250.00
2026-08-05,0.00,0.00,3.75,0.00,3.75
2026-08-07,0.00,82.50,150.00,175.00,407.50
2026-08-11,0.00,0.00,7.50,0.00,7.50
2026-08-13,0.00,0.00,15.00,17.50,32.50
2026-08-15,0.00,0.00,75.00,0.00,75.00
2026-08-19,0.00,11.25,15.00,0.00,26.25
2026-08-20,0.00,75.00,78.75,0.00,153.75
2026-08-22,0.00,0.00,0.00,8.75,8.75
2026-08-27,0.00,0.00,0.00,26.25,26.25
2026-08-28,0.00,0.00,7.50,0.00,7.50
2026-08-29,35.00,453.75,813.75,1058.75,2361.25
2026-08-30,0.00,82.50,7.50,17.50,107.50
2026-08-31,0.00,7.50,0.00,0.00,7.50
2026-09-01,0.00,0.00,120.00,0.00,120.00
2026-09-02,0.00,11.25,0.00,17.50,28.75
2026-09-03,0.00,75.00,0.00,175.00,250.00
2026-09-04,0.00,0.00,3.75,0.00,3.75
2026-09-06,0.00,82.50,150.00,175.00,407.50
2026-09-10,0.00,0.00,7.50,0.00,7.50
2026-09-12,0.00,0.00,15.00,17.50,32.50
2026-09-14,0.00,0.00,75.00,0.00,75.00
2026-09-18,0.00,11.25,15.00,0.00,26.25
2026-09-19,0.00,75.00,78.75,0.00,153.75
2026-09-21,0.00,0.00,0.00,8.75,8.75
2026-09-26,0.00,0.00,0.00,26.25,26.25
2026-09-27,0.00,0.00,7.50,0.00,7.50
2026-09-28,35.00,453.75,813.75,1058.75,2361.25
2026-09-29,0.00,82.50,7.50,17.50,107.50
2026-09-30,0.00,7.50,0.00,0.00,7.50
2026-10-01,0.00,0.00,120.00,0.00,120.00
2026-10-02,0.00,11.25,0.00,17.50,28.75
2026-10-03,0.00,75.00,0.00,175.00,250.00
2026-10-04,0.00,0.00,3.75,0.00,3.75
2026-10-06,0.00,82.50,150.00,175.00,407.50
2026-10-10,0.00,0.00,7.50,0.00,7.50
2026-10-12,0.00,0.00,15.00,17.50,32.50
2026-10-14,0.00,0.00,75.00,0.00,75.00
2026-10-18,0.00,11.25,15.00,0.00,26.25
2026-10-19,0.00,75.00,78.75,0.00,153.75
2026-10-21,0.00,0.00,0.00,8.75,8.75
2026-10-26,0.00,0.00,0.00,26.25,26.25
2026-10-27,0.00,0.00,7.50,0.00,7.50
2026-10-28,35.00,453.75,813.75,1058.75,2361.25
2026-10-29,0.00,82.50,7.50,17.50,107.50
2026-10-30,0.00,7.50,0.00,0.00,7.50
2026-10-31,0.00,0.00,120.00,0.00,120.00
2026-11-01,0.00,11.25,0.00,17.50,28.75
2026-11-02,0.00,75.00,0.00,175.00,250.00
2026-11-03,0.00,0.00,3.75,0.00,3.75
2026-11-05,0.00,82.50,150.00,175.00,407.50
2026-11-09,0.00,0.00,7.50,0.00,7.50
2026-11-11,0.00,0.00,15.00,17.50,32.50
2026-11-13,0.00,0.00,75.00,0.00,75.00
2026-11-17,0.00,11.25,15.00,0.00,26.25
2026-11-18,0.00,75.00,78.75,0.00,153.75
2026-11-20,0.00,0.00,0.00,8.75,8.75
2026-11-25,0.00,0.00,0.00,26.25,26.25
2026-11-26,0.00,0.00,7.50,0.00,7.50
2026-11-27,35.00,453.75,813.75,1058.75,2361.25
2026-11-28,0.00,82.50,7.50,17.50,107.50
2026-11-29,0.00,7.50,0.00,0.00,7.50
2026-11-30,0.00,0.00,120.00,0.00,120.00
2026-12-01,0.00,11.25,0.00,17.50,28.75
2026-12-02,0.00,75.00,0.00,175.00,250.00
2026-12-03,0.00,0.00,3.75,0.00,3.75
2026-12-05,0.00,82.50,150.00,175.00,407.50
2026-12-09,0.00,0.00,7.50,0.00,7.50
2026-12-11,0.00,0.00,15.00,17.50,32.50
2026-12-13,0.00,0.00,75.00,0.00,75.00
2026-12-17,0.00,11.25,15.00,0.00,26.25
2026-12-18,0.00,75.00,78.75,0.00,153.75
2026-12-20,0.00,0.00,0.00,8.75,8.75
2026-12-25,0.00,0.00,0.00,26.25,26.25
2026-12-26,0.00,0.00,7.50,0.00,7.50
2026-12-27,35.00,453.75,813.75,1058.75,2361.25
2026-12-28,0.00,82.50,7.50,17.50,107.50
2026-12-29,0.00,7.50,0.00,0.00,7.50
2026-12-30,0.00,0.00,120.00,0.00,120.00
2026-12-31,0.00,11.25,0.00,17.50,28.75
2027-01-01,0.00,75.00,0.00,175.00,250.00
2027-01-02,0.00,0.00,3.75,0.00,3.75
2027-01-04,0.00,82.50,150.00,175.00,407.50
2027-01-08,0.00,0.00,7.50,0.00,7.50
2027-01-10,0.00,0.00,15.00,17.50,32.50
2027-01-12,0.00,0.00,75.00,0.00,75.00
2027-01-16,0.00,11.25,15.00,0.00,26.25
2027-01-17,0.00,75.00,78.75,0.00,153.75
2027-01-19,0.00,0.00,0.00,8.75,8.75
2027-01-24,0.00,0.00,0.00,26.25,26.25
2027-01-25,0.00,0.00,7.50,0.00,7.50
2027-01-26,35.00,453.75,813.75,1058.75,2361.25
2027-01-27,0.00,82.50,7.50,17.50,107.50
2027-01-28,0.00,7.50,0.00,0.00,7.50
2027-01-29,0.00,0.00,120.00,0.00,120.00
2027-01-30,0.00,11.25,0.00,17.50,28.75
2027-01-31,0.00,75.00,0.00,175.00,250.00
2027-02-01,0.00,0.00,3.75,0.00,3.75
2027-02-03,0.00,82.50,150.00,175.00,407.50
2027-02-07,0.00,0.00,7.50,0.00,7.50
2027-02-09,0.00,0.00,15.00,17.50,32.50
2027-02-11,0.00,0.00,75.00,0.00,75.00
2027-02-15,0.00,11.25,15.00,0.00,26.25
2027-02-16,0.00,75.00,78.75,0.00,153.75
2027-02-18,0.00,0.00,0.00,8.75,8.75
2027-02-23,0.00,0.00,0.00,26.25,26.25
2027-02-24,0.00,0.00,7.50,0.00,7.50
2027-02-25,35.00,453.75,813.75,1058.75,2361.25
2027-02-26,0.00,82.50,7.50,17.50,107.50
2027-02-27,0.00,7.50,0.00,0.00,7.50
