Date,Payouts ($),Commissions ($)
2025-05-06,3850.00,1925.00
2025-05-10,50.00,25.00
2025-05-11,500.00,250.00
2025-05-26,50.00,25.00
2025-05-27,50.00,25.00
2025-05-29,100.00,50.00
2025-05-30,50.00,25.00
2025-06-03,50.00,25.00
2025-06-04,100.00,50.00
2025-06-05,200.00,100.00
2025-06-07,50.00,25.00
2025-06-08,50.00,25.00
2025-06-11,50.00,25.00
2025-06-15,150.00,75.00
2025-06-18,50.00,25.00
2025-06-24,150.00,75.00
2025-06-26,100.00,50.00
2025-06-27,100.00,50.00
2025-06-29,100.00,50.00
2025-06-30,50.00,25.00
2025-07-01,250.00,125.00
2025-07-02,100.00,50.00
2025-07-05,1050.00,350.00
2025-07-08,75.00,25.00
2025-07-10,1500.00,500.00
2025-07-11,75.00,25.00
2025-07-12,75.00,25.00
2025-08-27,375.00,125.00
2025-09-03,3850.00,1925.00
2025-09-07,50.00,25.00
2025-09-08,500.00,250.00
2025-09-23,50.00,25.00
2025-09-24,50.00,25.00
2025-09-26,100.00,50.00
2025-09-27,50.00,25.00
2025-10-01,50.00,25.00
2025-10-02,100.00,50.00
2025-10-03,200.00,100.00
2025-10-05,50.00,25.00
2025-10-06,50.00,25.00
2025-10-09,50.00,25.00
2025-10-13,150.00,75.00
2025-10-16,50.00,25.00
2025-10-22,150.00,75.00
2025-10-24,100.00,50.00
2025-10-25,100.00,50.00
2025-10-27,100.00,50.00
2025-10-28,50.00,25.00
2025-10-29,250.00,125.00
2025-10-30,100.00,50.00
2026-01-01,79800.00,26600.00
2026-01-02,3600.00,1200.00
2026-01-03,150.00,50.00
2026-01-04,2550.00,850.00
2026-01-05,2400.00,800.00
2026-01-06,4500.00,1500.00
2026-01-07,150.00,50.00
2026-01-09,4650.00,1550.00
2026-01-11,150.00,50.00
2026-01-12,150.00,50.00
2026-01-13,150.00,50.00
2026-01-15,1050.00,350.00
2026-01-18,1500.00,500.00
2026-01-21,300.00,100.00
2026-01-22,1500.00,500.00
2026-01-29,150.00,50.00
2026-01-30,150.00,50.00
2026-02-05,750.00,250.00
2026-02-07,150.00,50.00
2026-02-18,1500.00,500.00
2026-02-20,1650.00,550.00
2026-02-21,3600.00,1200.00
2026-02-22,1500.00,500.00
2026-02-23,3000.00,1000.00
2026-02-24,750.00,250.00
2026-02-26,150.00,50.00

TOTALS,131500.00,45900.00
