Level,User Address,Sponsor,Amount ($),Plan (Months),Start Date
1,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,0x3e5278faeb25139b1d5a2be52ca58a5220f266e0,100,12,2025-01-06
1,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,0x3e5278faeb25139b1d5a2be52ca58a5220f266e0,100,12,2025-01-06
2,0xba8d508353cdcca2e23d71e8dd738d0c461211c3,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-07
2,0xa51200b1ef8ebd7fc9d674b72c6813f1bb12a1eb,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-06
2,0xa95b501d35298ec36d45ff2cad04b1d92a45c90c,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-06
2,0x9cd98f7689ff8594f8ed5bc9bb5930ba8f2e0f8f,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-06
2,0x56100620ab5c9039dfc20c5ce4f8e95c8277ea2b,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,1000,12,2025-01-06
2,0x02fa1b595ef231fceb899f3be555caaabe30c10f,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-06
2,0xf6f41737c6836eb2af9d60036af0c42ffc91a98c,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,4,2025-01-06
2,0xabba4bf2fab226f284fd0fd7f105317cc4356121,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-06
2,0x71ca67ac6c23466aa3a759f659cc0d09f00a5a98,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,1000,12,2025-01-07
2,0xb097667a174457e7c10125c663162d45d4fadaae,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-06
2,0x6b06c5d828b1576fae1d90a204044355b47ea7ab,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,1000,12,2025-04-14
2,0x2ea7e032a9e9859c67b55d29eeb0927ad763affa,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-06
2,0xaea2a543d482b40d1d848b1cc72b40284a46645c,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,1000,12,2025-01-27
2,0x0c07b5b291d3ce3fb8449e860842c16edac03e6f,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-06
