User Address,Amount ($),Plan (Months),Start Date,Payouts Claimed,Next Payout Date,Next Payout Amount ($)
0x6667146dDF8e768E245e04e29787621b8cB7caa5,100,12,2025-01-06,0,2026-01-01,150
0x3E5278FAeb25139b1D5a2Be52ca58A5220f266E0,100,12,2025-01-06,0,2026-01-01,150
0x808916B6b3926270F81FbFA44aa756b7B61FD9a5,100,12,2025-01-06,0,2026-01-01,150
0x8265161eB7B8b986EcAf4317C581E7b13B23AB08,100,12,2025-01-06,0,2026-01-01,150
0x2Ea7e032A9E9859C67b55d29eeB0927AD763AFfA,100,12,2025-01-06,0,2026-01-01,150
0x06aF83600aF8D22ECcAD3d32E53c92f3d985EeBe,100,12,2025-01-06,0,2026-01-01,150
0x675311d5402DF170E484C5454A6851B6dc6C20aF,100,12,2025-01-06,0,2026-01-01,150
0x7b2A2f19D4B5A10C313dD4599A9fd534Aa4814D4,100,4,2025-01-06,0,2025-05-06,50
0xf6f41737c6836eB2AF9D60036Af0c42FfC91A98C,100,4,2025-01-06,0,2025-05-06,50
0xBE8A7BcbFF61c54b16031bAfEe1b60d28D9BfE8C,100,12,2025-01-06,0,2026-01-01,150
0x7867Ae2bb16a85c9d85ee6308D7A383902dFc4d8,500,12,2025-01-06,0,2026-01-01,750
0xf3aA8B1228b6227462CfD2054A4ad3AD4F3d398d,500,12,2025-01-06,0,2026-01-01,750
0x603Ef299A7ce94361778b526A9A16cB749271C84,500,12,2025-01-06,0,2026-01-01,750
0xa8f35A0fd333Ff03d81dE0A9C3f1Ed7e8C23B3F8,100,4,2025-01-06,0,2025-05-06,50
0xA1f05876fE80Ff182cF4724D7cb9105C2758EB71,100,12,2025-01-06,0,2026-01-01,150
0x4Fd0E0A5DFa06a4D06d8d91018AFDc0eD0E6b19c,100,12,2025-01-06,0,2026-01-01,150
0x761062472329b87f38C313228DA9B5080DCDf644,100,12,2025-01-06,0,2026-01-01,150
0xBFdcE91A641DC0092f7434427fD2b093D5dD3e6C,100,12,2025-01-06,0,2026-01-01,150
0x852A6ec9D543593A6a20D7547f5348e5670E4543,100,4,2025-01-06,0,2025-05-06,50
0x8e945f7C426F0a9Ae3fDcaAA076f3476FFc7675e,100,12,2025-01-06,0,2026-01-01,150
0x3e91FF7f492b0eee5fbA1A4B4B1590aE10e22D9b,100,4,2025-01-06,0,2025-05-06,50
0xAC5c5bDeA31ADE5A5C3dA563AE96A3A9081dF5CD,1000,12,2025-01-06,0,2026-01-01,1500
0xBeAEfaA2936d9b62FC9378b4A4b54Fc902B4A23D,100,6,2025-01-06,0,2025-07-05,75
0x8b8c2EE71b40683044401558107837536EF0e9Bf,100,12,2025-01-06,0,2026-01-01,150
0x8F833095987c5DE41448dBD3108A2b752EC88122,100,12,2025-01-06,0,2026-01-01,150
0xaBBa4Bf2fAB226f284fd0fD7F105317Cc4356121,100,12,2025-01-06,0,2026-01-01,150
0x33EB49aDd855C8d5230E166a7810f2766Bb1eA8d,100,12,2025-01-06,0,2026-01-01,150
0xa95b501d35298eC36d45ff2CAd04B1D92A45C90c,100,12,2025-01-06,0,2026-01-01,150
0x9CD98f7689Ff8594F8ED5BC9bb5930BA8F2e0F8F,100,12,2025-01-06,0,2026-01-01,150
0x0c07b5B291D3ce3Fb8449E860842c16eDaC03E6f,100,12,2025-01-06,0,2026-01-01,150
0xfD5328cee40d147393e262F725DB510805438B2e,100,4,2025-01-06,0,2025-05-06,50
0x43178722AfE470A7d645B673E2719B7C0DdAd397,100,12,2025-01-06,0,2026-01-01,150
0xb69401eE68bb8bdd44720f447EB815fe05B0d1dD,100,12,2025-01-06,0,2026-01-01,150
0xB097667a174457E7C10125c663162D45D4fAdaaE,100,12,2025-01-06,0,2026-01-01,150
0xF0c7953c8A1f3e6AB2355f2032B513376eBFBda5,1000,12,2025-01-06,0,2026-01-01,1500
